,Celkem,mladší 3 let,3leté,4leté,5leté,6leté a starší,rok
Hlavní město Praha,42771,3187,11365,12719,13562,1938,2023/24
Středočeský kraj,52957,3707,13755,15642,16782,3071,2023/24
Jihočeský kraj,23216,2543,5810,6452,6867,1544,2023/24
Plzeňský kraj,19496,1565,4965,5611,6195,1160,2023/24
Karlovarský kraj,8402,911,2220,2418,2537,316,2023/24
Ústecký kraj,24224,2421,6219,6926,7447,1211,2023/24
Liberecký kraj,15158,1387,3862,4283,4671,955,2023/24
Královéhradecký kraj,18391,1543,4722,5218,5534,1374,2023/24
Pardubický kraj,18266,1714,4782,5298,5459,1013,2023/24
Kraj Vysočina,18185,1751,4755,5270,5429,980,2023/24
Jihomoravský kraj,41868,2736,10875,12575,13188,2494,2023/24
Olomoucký kraj,22640,2491,5719,6141,6554,1735,2023/24
Zlínský kraj,19985,2166,5079,5525,5906,1309,2023/24
Moravskoslezský kraj,38932,4011,9863,10977,11802,2279,2023/24
Hlavní město Praha,43510,3254,11745,12929,13534,2048,2022/23
Středočeský kraj,53338,3686,13943,15973,16694,3042,2022/23
Jihočeský kraj,23536,2567,6033,6597,6799,1540,2022/23
Plzeňský kraj,19710,1534,5008,5887,6011,1270,2022/23
Karlovarský kraj,8610,926,2248,2456,2574,406,2022/23
Ústecký kraj,24650,2362,6289,6997,7778,1224,2022/23
Liberecký kraj,15490,1357,3934,4345,4808,1046,2022/23
Královéhradecký kraj,18828,1645,4889,5288,5622,1384,2022/23
Pardubický kraj,18511,1816,4866,5322,5437,1070,2022/23
Kraj Vysočina,18134,1755,4890,5229,5248,1012,2022/23
Jihomoravský kraj,42422,2744,11441,12728,13002,2507,2022/23
Olomoucký kraj,22848,2527,5730,6336,6479,1776,2022/23
Zlínský kraj,20241,2018,5150,5697,5971,1405,2022/23
Moravskoslezský kraj,39377,3917,10195,11247,11646,2372,2022/23
Hlavní město Praha,42580,3256,11468,12490,13255,2111,2021/22
Středočeský kraj,51834,3689,13638,15338,15975,3194,2021/22
Jihočeský kraj,22743,2540,5872,6341,6363,1627,2021/22
Plzeňský kraj,19023,1354,5051,5492,5848,1278,2021/22
Karlovarský kraj,8354,978,2075,2337,2464,500,2021/22
Ústecký kraj,24264,2330,6115,6903,7472,1444,2021/22
Liberecký kraj,15195,1328,3832,4303,4710,1022,2021/22
Královéhradecký kraj,18482,1807,4727,5132,5428,1388,2021/22
Pardubický kraj,17975,1745,4753,5097,5277,1103,2021/22
Kraj Vysočina,17693,1859,4697,4974,5097,1066,2021/22
Jihomoravský kraj,41612,3121,11207,12337,12373,2574,2021/22
Olomoucký kraj,22407,2503,5732,6029,6485,1658,2021/22
Zlínský kraj,19860,2001,5172,5587,5671,1429,2021/22
Moravskoslezský kraj,38468,4203,10064,10625,11123,2453,2021/22
Hlavní město Praha,42578,3276,11290,12937,13094,1981,2020/21
Středočeský kraj,51197,4049,13448,15045,15737,2918,2020/21
Jihočeský kraj,22651,2657,5857,6095,6545,1497,2020/21
Plzeňský kraj,18789,1519,4913,5527,5643,1187,2020/21
Karlovarský kraj,8341,956,2133,2300,2564,388,2020/21
Ústecký kraj,24230,2453,6193,6839,7434,1311,2020/21
Liberecký kraj,14962,1367,3842,4380,4390,983,2020/21
Královéhradecký kraj,18311,1804,4772,5147,5313,1275,2020/21
Pardubický kraj,17897,1972,4626,5040,5243,1016,2020/21
Kraj Vysočina,17527,1974,4554,4931,5080,988,2020/21
Jihomoravský kraj,41058,3228,10993,12005,12345,2487,2020/21
Olomoucký kraj,22249,2753,5587,6248,6138,1523,2020/21
Zlínský kraj,19735,2141,5152,5477,5658,1307,2020/21
Moravskoslezský kraj,38073,4437,9715,10523,11121,2277,2020/21
Hlavní město Praha,43260,3579,11914,12805,12961,2001,2019/20
Středočeský kraj,51347,4766,13294,14829,15421,3037,2019/20
Jihočeský kraj,23017,3255,5785,6231,6252,1494,2019/20
Plzeňský kraj,18845,1871,4950,5360,5553,1111,2019/20
Karlovarský kraj,8766,1182,2170,2465,2509,440,2019/20
Ústecký kraj,25071,3145,6263,6885,7421,1357,2019/20
Liberecký kraj,15228,1782,3990,4134,4347,975,2019/20
Královéhradecký kraj,19137,2613,4887,5097,5309,1231,2019/20
Pardubický kraj,18391,2497,4741,4974,5166,1013,2019/20
Kraj Vysočina,17965,2421,4637,4931,4984,992,2019/20
Jihomoravský kraj,41796,4271,11050,11898,12162,2415,2019/20
Olomoucký kraj,22931,3436,5913,5914,6068,1600,2019/20
Zlínský kraj,19999,2737,5154,5438,5268,1402,2019/20
Moravskoslezský kraj,39156,5465,9837,10446,11101,2307,2019/20
